SalesID,Date,ProductID,CustomerID,RegionID,Quantity,UnitPrice,Discount,Amount,Cost
1,2023-01-01,67,88,3,1,327.73,0.0,327.73,224.14
2,2023-01-01,61,16,1,4,601.86,0.0,2407.44,2005.96
3,2023-01-01,61,217,1,2,528.11,0.1,950.59,619.41
4,2023-01-01,16,106,2,1,241.01,0.0,241.01,170.65
5,2023-01-01,62,47,1,1,150.74,0.0,150.74,118.2
6,2023-01-01,64,241,1,2,661.01,0.0,1322.02,892.64
7,2023-01-01,25,47,3,1,554.53,0.0,554.53,466.52
8,2023-01-01,28,59,1,1,263.63,0.05,250.45,162.53
9,2023-01-01,50,140,1,3,667.08,0.0,2001.23,1636.81
10,2023-01-02,13,146,5,3,744.8,0.0,2234.39,1846.79
11,2023-01-02,26,19,2,2,482.98,0.0,965.96,729.86
12,2023-01-02,56,183,3,1,236.73,0.0,236.73,167.6
13,2023-01-02,56,59,2,3,762.12,0.05,2172.06,1635.2
14,2023-01-02,5,201,3,1,734.22,0.05,697.51,461.45
15,2023-01-02,21,34,3,1,23.92,0.0,23.92,19.76
16,2023-01-02,61,218,2,5,444.47,0.0,2222.37,1727.58
17,2023-01-02,57,193,3,1,628.67,0.05,597.24,472.94
18,2023-01-02,22,192,4,3,548.49,0.0,1645.46,1182.71
19,2023-01-03,24,57,4,3,573.32,0.0,1719.97,1392.68
20,2023-01-03,26,25,2,1,82.85,0.0,82.85,55.88
21,2023-01-03,43,179,3,1,423.42,0.1,381.08,293.93
22,2023-01-03,27,11,2,4,24.82,0.1,89.36,74.81
23,2023-01-03,37,19,4,5,78.47,0.0,392.34,275.42
24,2023-01-03,59,123,3,2,186.3,0.05,353.97,230.41
25,2023-01-03,19,101,5,2,685.56,0.1,1234.01,771.02
26,2023-01-03,32,63,3,2,537.52,0.1,967.54,632.64
27,2023-01-03,50,144,5,2,253.16,0.0,506.32,331.35
28,2023-01-04,44,197,5,1,665.51,0.0,665.51,498.48
29,2023-01-04,11,51,5,4,134.67,0.05,511.75,431.58
30,2023-01-04,39,238,2,3,60.53,0.1,163.44,116.79
31,2023-01-04,73,104,5,2,137.42,0.0,274.85,199.57
32,2023-01-05,12,35,5,2,711.37,0.1,1280.46,1050.87
33,2023-01-05,39,99,5,1,174.54,0.0,174.54,132.1
34,2023-01-05,55,54,5,2,656.66,0.15,1116.32,778.31
35,2023-01-05,1,27,3,2,330.75,0.0,661.5,425.02
36,2023-01-05,39,19,5,2,265.37,0.0,530.75,444.85
37,2023-01-06,58,178,4,2,141.17,0.05,268.22,201.52
38,2023-01-06,1,66,1,1,679.97,0.05,645.97,421.78
39,2023-01-06,52,30,3,2,415.41,0.05,789.27,598.52
40,2023-01-06,22,12,4,1,303.39,0.0,303.39,185.33
41,2023-01-06,65,167,1,1,175.75,0.0,175.75,134.97
42,2023-01-06,1,231,2,1,662.7,0.05,629.57,409.05
43,2023-01-06,44,10,3,2,701.46,0.0,1402.93,849.19
44,2023-01-07,38,118,4,2,328.42,0.1,591.15,438.61
45,2023-01-07,51,126,4,2,398.34,0.0,796.69,583.28
46,2023-01-07,4,100,5,1,607.73,0.0,607.73,420.65
47,2023-01-07,6,16,5,4,617.97,0.0,2471.86,1936.78
48,2023-01-07,38,99,3,4,683.63,0.0,2734.5,2132.24
49,2023-01-07,13,123,4,4,356.98,0.1,1285.13,855.7
50,2023-01-07,51,202,4,2,680.1,0.05,1292.18,1012.03
51,2023-01-07,37,241,1,2,284.17,0.05,539.92,397.37
52,2023-01-07,20,206,3,1,625.3,0.05,594.03,388.0
53,2023-01-07,59,250,1,2,272.27,0.0,544.55,421.98
54,2023-01-08,72,92,3,1,510.23,0.0,510.23,339.13
55,2023-01-08,26,150,5,5,716.65,0.0,3583.24,3044.14
